sound_event_recording,start_time,end_time,ele,azi
pageturn031.wav,0.456302079016,1.52630207902,20,-50,9.0
keysDrop072.wav,1.85892877899,2.07394011686,-60,10,8.0
keyboard045.wav,2.87906719659,4.47607399931,-50,-20,8.5
knock065.wav,5.16445627618,5.78246081133,-60,80,5.0
keysDrop003.wav,6.63055546387,6.99556680174,-10,-120,5.0
clearthroat065.wav,7.34077534283,8.23376854011,50,130,5.5
speech046.wav,9.26164689668,12.0226446291,-10,-150,3.5
laughter067.wav,12.3703172529,13.4903172529,0,0,8.5
knock067.wav,14.1435976031,15.1606044058,30,-130,3.0
clearthroat014.wav,16.1487882166,16.5217814139,-10,80,7.0
phone042.wav,17.6031188841,18.6431188841,-30,20,2.5
keysDrop002.wav,18.9765077437,19.252516814,40,0,7.0
knock027.wav,19.5459368077,20.5559368077,0,-10,3.0
keyboard017.wav,21.1643467854,23.5523513205,40,120,4.5
laughter119.wav,24.1785437811,24.7075460487,50,-140,5.0
clearthroat002.wav,25.6770657747,26.2910567044,10,110,8.5
keyboard023.wav,27.1644672701,28.9344672701,10,160,8.5
